Code_commune_INSEE,Code_postal,Coordonnees_gps
7194,7210,"44.680745588, 4.610799813"
7197,7100,"45.219327345, 4.64968221"
7198,7800,"44.779024709, 4.730260474"
7204,7320,"45.005421601, 4.413100047"
7205,7790,"45.186244279, 4.631215246"
7209,7160,"44.844720573, 4.287806192"
7232,7590,"44.64742294, 3.973075962"
7241,7170,"44.553431519, 4.448582198"
7255,7000,"44.758254218, 4.693271935"
7257,7240,"44.867801092, 4.675545912"
7260,7210,"44.692035656, 4.715685175"
7261,7800,"44.82329143, 4.745777124"
7263,7170,"44.664414441, 4.484743139"
7264,7700,"44.330006429, 4.605999329"
7270,7400,"44.634786512, 4.656611525"
7273,7170,"44.48390513, 4.482658219"
7275,7260,"44.538840401, 4.12920091"
7290,7270,"44.947183115, 4.500882887"
7291,7700,"44.377839423, 4.496084086"
7296,7200,"44.576308278, 4.382400106"
7298,7210,"44.728515124, 4.706226274"
7304,7150,"44.388184946, 4.366882302"
7305,7140,"44.436083578, 4.098851871"
7324,7300,"45.053769465, 4.815244503"
7343,7110,"44.546616599, 4.332433589"
7347,7690,"45.194739746, 4.563980845"
7349,7800,"44.801676324, 4.780311008"
8011,8500,"49.925011416, 4.665777837"
8017,8250,"49.259389836, 4.96788292"
8019,8390,"49.529315833, 4.899010974"
8022,8090,"49.826390951, 4.661253104"
8025,8130,"49.476266168, 4.585200636"
8027,8270,"49.556761097, 4.482408475"
8039,8190,"49.465888218, 4.068729619"
8065,8370,"49.55781163, 5.278033299"
8078,8230,"49.889083798, 4.554831961"
8082,8400,"49.331905569, 4.755194621"
8086,8240,"49.403827406, 4.869113614"
8089,8240,"49.418397773, 4.973837126"
8102,8220,"49.60753439, 4.279545642"
8103,8130,"49.506558111, 4.590034895"
8115,8350,"49.617410686, 4.869503044"
8116,8390,"49.508821336, 4.756360615"
8117,8270,"49.561359411, 4.566876248"
8123,8130,"49.450767895, 4.621905274"
8126,8360,"49.542244703, 4.198234267"
8131,8250,"49.298705813, 4.93291855"
8132,8270,"49.582258473, 4.45392879"
8137,8090,"49.80743751, 4.682499013"
8141,8460,"49.680296655, 4.481837721"
8145,8140,"49.663170003, 5.04152484"
8151,8130,"49.534690171, 4.587800835"
8153,8110,"49.69785143, 5.126139225"
8156,8260,"49.891106608, 4.403818314"
8159,8210,"49.628923747, 5.113577303"
8161,8250,"49.29490647, 5.021560092"
8162,8090,"49.732804898, 4.619220606"
8163,8270,"49.609203832, 4.505556806"
8167,8290,"49.759038236, 4.304287443"
8171,8250,"49.308478775, 4.981687806"
8173,8160,"49.669128822, 4.741989381"
8176,8240,"49.449776874, 5.005214244"
8180,8000,"49.725417695, 4.706031037"
8193,8130,"49.489234199, 4.531244017"
8196,8270,"49.652322543, 4.406946213"
8198,8250,"49.349582076, 4.850769735"
8201,8430,"49.710020718, 4.604458742"
8202,8230,"49.95325401, 4.538462616"
8204,8130,"49.556995789, 4.627591202"
8206,8090,"49.794839498, 4.587812784"
8211,8450,"49.624326734, 4.953397325"
8218,8800,"49.909021936, 4.84766011"
8220,8310,"49.316129149, 4.411207688"
8228,8430,"49.623685143, 4.677176538"
8233,8240,"49.370907903, 4.974151355"
8243,8460,"49.66998485, 4.369335771"
8256,8400,"49.305070393, 4.643372016"
8257,8150,"49.775418338, 4.387730795"
8278,8390,"49.549016291, 4.705341342"
8283,8430,"49.610939083, 4.618426054"
8305,8430,"49.645998479, 4.612982544"
8311,8210,"49.597000227, 5.073947647"
8322,8090,"49.732426439, 4.589562437"
8324,8430,"49.626844953, 4.539404537"
8325,8400,"49.458283227, 4.794707725"
8327,8160,"49.709002313, 4.797384129"
8334,8450,"49.629609565, 4.826074189"
8335,8430,"49.593783563, 4.739960737"
8339,8300,"49.448816727, 4.355566118"
8346,8000,"49.748524526, 4.685763617"
8354,8450,"49.58906419, 4.961678293"
8361,8150,"49.849335003, 4.605098104"
8366,8220,"49.699994089, 4.247565319"
8374,8130,"49.545979374, 4.669644698"
8376,8110,"49.599977735, 5.172880268"
8377,8350,"49.655216002, 4.851971901"
8380,8360,"49.573230304, 4.201099291"
8386,8300,"49.452824263, 4.215374031"
8394,8240,"49.488825047, 4.945217923"
8403,8300,"49.487506119, 4.357362295"
8409,8200,"49.696818253, 4.929625969"
8415,8270,"49.589227537, 4.361629099"
8420,8380,"49.929831737, 4.321946455"
8421,8370,"49.578962134, 5.311350117"
8436,8230,"49.927608393, 4.475354517"
8438,8360,"49.510628409, 4.257927572"
8440,8380,"49.876497761, 4.296673107"
8444,8110,"49.649346544, 5.117267891"
8446,8240,"49.406073813, 4.920275917"
8448,8800,"49.899339926, 4.808013708"
8450,8090,"49.752325168, 4.610217447"
8452,8300,"49.477590903, 4.420929792"
8457,8090,"49.799081937, 4.639221478"
8458,8130,"49.540566269, 4.642032085"
8459,8110,"49.6619438, 5.260051297"
8470,8240,"49.38214902, 4.928793996"
8472,8270,"49.632585017, 4.484161849"
8476,8190,"49.504587814, 4.076632645"
8483,8440,"49.755605097, 4.796320816"
8488,8440,"49.731931338, 4.823452603"
8490,8400,"49.414835162, 4.696807375"
8490,8400,"49.414835162, 4.696807375"
8491,8330,"49.753847259, 4.864278206"
8500,8270,"49.586552298, 4.581937113"
8502,8210,"49.567927362, 5.016128389"
9005,9320,"42.894162766, 1.267264749"
9007,9240,"43.038911091, 1.364164827"
9019,9130,"43.143173579, 1.446726199"
9026,9800,"42.930816184, 1.01954447"
9038,9350,"43.168847066, 1.273544037"
9041,9160,"43.060987466, 1.000066549"
9046,9230,"43.083738717, 1.101001265"
9047,9300,"42.89340096, 1.952847818"
9049,9000,"42.958095461, 1.528254109"
9057,9320,"42.904442272, 1.30892473"
9060,9100,"43.172562491, 1.587740674"
9061,9350,"43.113444102, 1.366156723"
9063,9000,"42.933042002, 1.44546208"
9071,9240,"43.013967126, 1.501937197"
9076,9700,"43.248578398, 1.523887788"
9077,9400,"42.79182688, 1.576017206"
9093,9000,"42.916741057, 1.696810775"
9105,9350,"43.144760397, 1.303719559"
9106,9300,"42.944023108, 1.870625005"
9109,9130,"43.195178559, 1.46363399"
9110,9200,"42.963634042, 1.192679233"
9117,9700,"43.186766026, 1.499674927"
9125,9300,"42.872672697, 1.898612022"
9126,9300,"42.891555008, 1.73038207"
9133,9400,"42.82882668, 1.565695969"
9134,9220,"42.719216168, 1.584926202"
9138,9000,"42.972901063, 1.679606672"
9139,9390,"42.595485122, 1.77727828"
9141,9800,"42.922752358, 0.954360653"
9150,9500,"43.046716888, 1.936358528"
9156,9310,"42.797422003, 1.627743089"
9158,9230,"43.076530566, 1.164389223"
9162,9220,"42.709570223, 1.528218453"
9169,9600,"43.011018788, 1.843885655"
9171,9250,"42.798524031, 1.784138915"
9172,9350,"43.188287555, 1.282325487"
9174,9000,"43.009322918, 1.594802292"
9178,9500,"43.11214669, 1.933816223"
9183,9160,"43.032043653, 0.991753147"
9185,9270,"43.231010969, 1.678733751"
9194,9500,"43.109107672, 1.86887348"
9195,9130,"43.095344633, 1.476006135"
9204,9200,"43.034778733, 1.216493904"
9207,9330,"42.937648302, 1.643813889"
9209,9200,"43.01540378, 1.175617877"
9231,9320,"42.835867521, 1.385824253"
9232,9110,"42.791020982, 1.860872286"
9259,9500,"43.12385278, 1.754947576"
9263,9800,"42.951684369, 0.928706131"
9265,9100,"43.086780429, 1.624372497"
9267,9800,"42.900309198, 0.868499935"
9268,9190,"43.000422992, 1.129404844"
9284,9120,"43.031478531, 1.692274971"
9292,9240,"42.945288587, 1.394834129"
9297,9800,"42.919856621, 1.011290196"
9299,9140,"42.896652507, 1.19438246"
9305,9600,"42.988950252, 1.855291059"
9313,9230,"43.090778106, 1.137070092"
9318,9250,"42.758213277, 1.778127788"
9320,9310,"42.777993011, 1.734720686"
9324,9120,"43.055054077, 1.633691189"
9325,9110,"42.743722259, 1.821158623"
9330,9250,"42.790640673, 1.791026521"
9340,9120,"43.048125501, 1.757465758"
10003,10190,"48.22692236, 3.745810669"
10003,10190,"48.22692236, 3.745810669"
10006,10700,"48.527674548, 4.141496026"
10007,10200,"48.156282129, 4.729695768"
10008,10140,"48.250077553, 4.597013006"
10012,10200,"48.280057922, 4.650961277"
10019,10220,"48.400032262, 4.359957586"
10031,10400,"48.550969223, 3.561834503"
10031,10400,"48.550969223, 3.561834503"
10033,10200,"48.23419199, 4.715784302"
10039,10200,"48.184451648, 4.670090294"
