"Code Commune", "Libellé commune", "Degré de Densité", "Population municipale 2018"
02021, Archon, 4, 84
02022, Arcy-Sainte-Restitue, 4, 403
02023, Armentières-sur-Ourcq, 4, 102
02024, Arrancy, 4, 51
02025, Artemps, 3, 367
02027, Assis-sur-Serre, 4, 214
02028, Athies-sous-Laon, 3, 2606
02029, Attilly, 3, 354
02030, Aubencheul-aux-Bois, 4, 257
02031, Aubenton, 3, 661
02032, Aubigny-aux-Kaisnes, 4, 253
02033, Aubigny-en-Laonnois, 4, 104
02034, Audignicourt, 4, 121
02035, Audigny, 4, 280
02036, Augy, 4, 72
02037, Aulnois-sous-Laon, 3, 1386
02038, Les Autels, 4, 59
02039, Autremencourt, 4, 173
02040, Autreppes, 4, 180
02041, Autreville, 3, 807
02042, Azy-sur-Marne, 3, 384
02043, Bagneux, 4, 65
02044, Bancigny, 4, 25
02046, Barenton-Bugny, 3, 557
02047, Barenton-Cel, 4, 108
02048, Barenton-sur-Serre, 4, 133
02049, Barisis-aux-Bois, 3, 739
02050, Barzy-en-Thiérache, 3, 323
02051, Barzy-sur-Marne, 3, 391
02052, Bassoles-Aulers, 4, 135
02053, Vallées en Champagne, 4, 571
02054, Bazoches-sur-Vesles, 3, 542
02055, Beaumé, 4, 88
02056, Beaumont-en-Beine, 4, 179
02057, Beaurevoir, 3, 1406
02058, Beaurieux, 3, 856
02059, Beautor, 2, 2714
02060, Beauvois-en-Vermandois, 4, 257
02061, Becquigny, 3, 246
02062, Belleau, 4, 137
02063, Bellenglise, 3, 378
02064, Belleu, 2, 3832
02065, Bellicourt, 3, 600
02066, Benay, 4, 196
02067, Bergues-sur-Sambre, 4, 210
02068, Berlancourt, 4, 88
02069, Berlise, 4, 105
02070, Bernot, 3, 445
02071, Berny-Rivière, 3, 658
02072, Berrieux, 4, 186
02073, Berry-au-Bac, 3, 670
02074, Bertaucourt-Epourdon, 3, 593
02075, Berthenicourt, 3, 195
02076, Bertricourt, 4, 152
02077, Berzy-le-Sec, 3, 379
02078, Besmé, 4, 163
02079, Besmont, 4, 149
02080, Besny-et-Loizy, 4, 333
02081, Béthancourt-en-Vaux, 3, 434
02082, Beugneux, 4, 110
02083, Beuvardes, 3, 750
02084, Bézu-le-Guéry, 4, 257
02085, Bézu-Saint-Germain, 3, 1015
02086, Bichancourt, 3, 1006
02087, Bieuxy, 4, 34
02088, Bièvres, 4, 92
02089, Billy-sur-Aisne, 3, 1148
02090, Billy-sur-Ourcq, 4, 207
02091, Blanzy-lès-Fismes, 4, 95
02093, Blérancourt, 3, 1298
02094, Blesmes, 2, 464
02095, Bohain-en-Vermandois, 2, 5686
02096, Bois-lès-Pargny, 4, 197
02097, Boncourt, 4, 256
02098, Bonneil, 3, 379
02099, Bonnesvalyn, 4, 221
02100, Bony, 4, 138
02101, Bosmont-sur-Serre, 4, 192
02102, Bouconville-Vauclair, 4, 191
02103, Boué, 3, 1339
02104, Bouffignereux, 4, 99
02105, Bouresches, 4, 196
02106, Bourg-et-Comin, 3, 810
02107, Bourguignon-sous-Coucy, 4, 107
02108, Bourguignon-sous-Montbavin, 3, 159
02109, La Bouteille, 3, 475
02110, Braine, 3, 2235
02111, Brancourt-en-Laonnois, 3, 721
02112, Brancourt-le-Grand, 3, 553
02114, Brasles, 2, 1563
02115, Braye-en-Laonnois, 4, 190
02116, Braye-en-Thiérache, 4, 147
02117, Bray-Saint-Christophe, 4, 68
02118, Braye, 3, 129
02119, Brécy, 3, 327
02120, Brenelle, 4, 196
02121, Breny, 4, 240
02122, Brie, 4, 54
02123, Brissay-Choigny, 3, 301
02124, Brissy-Hamégicourt, 3, 651
02125, Brumetz, 4, 193
02126, Brunehamel, 3, 455
02127, Bruyères-sur-Fère, 4, 192
02128, Bruyères-et-Montbérault, 3, 1475
02129, Bruys, 4, 18
02130, Bucilly, 4, 194
02131, Bucy-le-Long, 3, 1861
02132, Bucy-lès-Cerny, 4, 194
02133, Bucy-lès-Pierrepont, 3, 404
02134, Buire, 2, 862
02135, Buironfosse, 3, 1157
02136, Burelles, 4, 128
02137, Bussiares, 4, 160
02138, Buzancy, 4, 200
02139, Caillouël-Crépigny, 3, 442
02140, Camelin, 3, 456
02141, La Capelle, 3, 1778
02142, Castres, 3, 253
02143, Le Catelet, 3, 185
02144, Caulaincourt, 4, 144
02145, Caumont, 3, 545
02146, Celles-lès-Condé, 3, 94
02148, Celles-sur-Aisne, 3, 255
02149, Cerizy, 4, 62
02150, Cerny-en-Laonnois, 4, 63
02151, Cerny-lès-Bucy, 4, 116
02152, Cerseuil, 4, 89
02153, Cessières-Suzy, 3, 764
02154, Chacrise, 4, 365
02155, Chaillevois, 3, 166
02156, Chalandry, 4, 257
02157, Chambry, 2, 836
02158, Chamouille, 3, 273
02159, Champs, 4, 295
02160, Chaourse, 3, 544
02162, La Chapelle-sur-Chézy, 3, 291
02163, Charly-sur-Marne, 2, 2585
02164, Le Charmel, 3, 325
02165, Charmes, 2, 1654
02166, Chartèves, 3, 356
02167, Chassemy, 3, 890
02168, Château-Thierry, 2, 15254
02169, Châtillon-lès-Sons, 4, 84
02170, Châtillon-sur-Oise, 3, 125
02171, Chaudardes, 4, 88
02172, Chaudun, 4, 252
02173, Chauny, 2, 11653
02174, Chavignon, 3, 829
02175, Chavigny, 4, 161
02176, Chavonne, 3, 206
02177, Chérêt, 3, 139
02178, Chermizy-Ailles, 4, 106
02179, Chéry-Chartreuve, 4, 385
02180, Chéry-lès-Pouilly, 3, 721
02181, Chéry-lès-Rozoy, 4, 79
02182, Chevennes, 3, 117
02183, Chevregny, 4, 185
02184, Chevresis-Monceau, 3, 351
02185, Chézy-en-Orxois, 3, 390
02186, Chézy-sur-Marne, 3, 1351
02187, Chierry, 2, 1134
02188, Chigny, 4, 147
02189, Chivres-en-Laonnois, 3, 350
02190, Chivres-Val, 3, 518
02191, Chivy-lès-Étouvelles, 3, 523
02192, Chouy, 4, 371
02193, Cierges, 4, 65
02194, Cilly, 4, 186
02195, Ciry-Salsogne, 3, 910
02196, Clacy-et-Thierret, 3, 311
02197, Clairfontaine, 4, 535
02198, Clamecy, 3, 228
02199, Clastres, 3, 601
02200, Clermont-les-Fermes, 4, 106
02201, Cœuvres-et-Valsery, 3, 441
02203, Coincy, 3, 1282
02204, Coingt, 4, 65
02205, Colligis-Crandelain, 3, 229
02206, Colonfay, 4, 76
02207, Commenchon, 3, 216
02208, Concevreux, 4, 267
02209, Condé-en-Brie, 3, 708
02210, Condé-sur-Aisne, 3, 364
02211, Condé-sur-Suippe, 3, 294
02212, Condren, 2, 708
02213, Connigis, 3, 343
02214, Contescourt, 3, 61
02215, Corbeny, 3, 841
02216, Corcy, 3, 294
02217, Coucy-le-Château-Auffrique, 3, 992
02218, Coucy-lès-Eppes, 3, 628
02219, Coucy-la-Ville, 4, 200
02220, Coulonges-Cohan, 4, 436
02221, Coupru, 4, 152
02222, Courbes, 4, 32
02223, Courboin, 4, 301
02224, Courcelles-sur-Vesle, 3, 346
02225, Courchamps, 4, 84
02226, Courmelles, 2, 1863
02227, Courmont, 4, 120
02228, Courtemont-Varennes, 3, 339
02229, Courtrizy-et-Fussigny, 3, 71
02230, Couvrelles, 4, 186
02231, Couvron-et-Aumencourt, 3, 941
02232, Coyolles, 3, 362
02233, Cramaille, 4, 145
02234, Craonne, 4, 83
02235, Craonnelle, 4, 115
02236, Crécy-au-Mont, 3, 330
02237, Crécy-sur-Serre, 3, 1502
02238, Crépy, 3, 1816
02239, Crézancy, 3, 1244
02240, Croix-Fonsomme, 4, 218
02241, La Croix-sur-Ourcq, 4, 96
02242, Crouttes-sur-Marne, 3, 641
02243, Crouy, 2, 2923
02244, Crupilly, 4, 63
02245, Cuffies, 2, 1805
02246, Cugny, 3, 611
02248, Cuirieux, 4, 156
02249, Cuiry-Housse, 4, 100
02250, Cuiry-lès-Chaudardes, 4, 73
02251, Cuiry-lès-Iviers, 4, 27
02252, Cuissy-et-Geny, 3, 71
02253, Cuisy-en-Almont, 3, 358
02254, Cutry, 3, 129
02255, Cys-la-Commune, 3, 153
02256, Dagny-Lambercy, 4, 129
02257, Dallon, 3, 437
02258, Dammard, 3, 370
02259, Dampleux, 3, 392
02260, Danizy, 2, 650
02261, Dercy, 3, 391
02262, Deuillet, 3, 211
02263, Dhuizel, 4, 112
02264, Dizy-le-Gros, 3, 730
02265, Dohis, 4, 99
02266, Dolignon, 4, 46
02267, Dommiers, 3, 292
02268, Domptin, 3, 647
02269, Dorengt, 4, 155
02270, Douchy, 4, 164
02271, Dravegny, 4, 130
02272, Droizy, 4, 78
02273, Dury, 3, 207
02274, Ébouleau, 4, 195
02275, Effry, 3, 319
02276, Englancourt, 4, 117
02277, Épagny, 3, 342
02278, Éparcy, 4, 28
02279, Épaux-Bézu, 3, 553
02280, Épieds, 4, 409
02281, L'Épine-aux-Bois, 4, 256
02282, Eppes, 3, 427
02283, Erlon, 3, 287
02284, Erloy, 4, 102
02286, Esquéhéries, 3, 867
02287, Essigny-le-Grand, 3, 1048
02288, Essigny-le-Petit, 3, 347
02289, Essises, 3, 411
02290, Essômes-sur-Marne, 2, 2745
02291, Estrées, 3, 410
02292, Étampes-sur-Marne, 2, 1305
02293, Étaves-et-Bocquiaux, 3, 553
02294, Étouvelles, 3, 207
02295, Étréaupont, 3, 853
02296, Étreillers, 3, 1197
02297, Étrépilly, 4, 121
02298, Étreux, 3, 1420
02299, Évergnicourt, 3, 546
02302, Faverolles, 4, 321
02303, Fayet, 2, 680
02304, La Fère, 2, 2838
02305, Fère-en-Tardenois, 3, 3001
02306, La Ferté-Chevresis, 3, 510
02307, La Ferté-Milon, 3, 2060
02308, Fesmy-le-Sart, 4, 476
02309, Festieux, 3, 671
02310, Fieulaine, 4, 248
02311, Filain, 3, 120
02312, La Flamengrie, 3, 1100
02313, Flavigny-le-Grand-et-Beaurain, 3, 444
02315, Flavy-le-Martel, 3, 1669
02316, Fleury, 4, 128
02317, Fluquières, 4, 218
02318, Folembray, 3, 1381
02319, Fonsomme, 3, 490
02320, Fontaine-lès-Clercs, 3, 237
02321, Fontaine-lès-Vervins, 3, 901
02322, Fontaine-Notre-Dame, 3, 386
02323, Fontaine-Uterte, 4, 134
02324, Fontenelle, 3, 281
02326, Fontenoy, 3, 470
02327, Foreste, 4, 163
02328, Fossoy, 3, 513
02329, Fourdrain, 3, 425
02330, Francilly-Selency, 3, 530
02331, Franqueville, 3, 110
02332, Fresnes-en-Tardenois, 4, 265
02333, Fresnes-sous-Coucy, 4, 164
02334, Fresnoy-le-Grand, 3, 2958
02335, Fressancourt, 4, 183
02336, Frières-Faillouël, 3, 983
02337, Froidestrées, 4, 168
02338, Froidmont-Cohartille, 4, 252
02339, Gandelu, 3, 690
02340, Gauchy, 2, 5235
02341, Gercy, 4, 268
02342, Gergny, 4, 134
02343, Germaine, 4, 81
02345, Gibercourt, 4, 41
02346, Gizy, 3, 664
02347, Gland, 3, 444
02349, Goudelancourt-lès-Berrieux, 4, 56
02350, Goudelancourt-lès-Pierrepont, 4, 136
02351, Goussancourt, 4, 113
02352, Gouy, 3, 560
02353, Grandlup-et-Fay, 4, 287
02354, Grandrieux, 4, 80
02355, Gricourt, 3, 953
02356, Grisolles, 4, 240
02357, Gronard, 4, 71
02358, Grougis, 3, 333
02359, Grugies, 2, 1301
02360, Villeneuve-sur-Aisne, 3, 2751
02361, Guise, 3, 4645
02362, Guivry, 4, 238
02363, Guny, 3, 390
02364, Guyencourt, 4, 258
02366, Hannapes, 3, 324
02367, Happencourt, 4, 130
02368, Haramont, 3, 574
02369, Harcigny, 4, 242
02370, Hargicourt, 3, 610
02371, Harly, 2, 1578
02372, Hartennes-et-Taux, 3, 347
02373, Hary, 4, 197
02374, Lehaucourt, 3, 861
02375, Hautevesnes, 4, 159
02376, Hauteville, 4, 174
02377, Haution, 4, 135
02378, La Hérie, 4, 129
02379, Le Hérie-la-Viéville, 4, 209
02380, Hinacourt, 4, 24
02381, Hirson, 2, 8710
02382, Holnon, 3, 1367
02383, Homblières, 3, 1452
02384, Houry, 4, 56
02385, Housset, 4, 160
02386, Iron, 4, 225
02387, Itancourt, 3, 1015
02388, Iviers, 4, 225
02389, Jaulgonne, 3, 659
02390, Jeancourt, 4, 264
02391, Jeantes, 4, 206
02392, Joncourt, 4, 311
02393, Jouaignes, 4, 141
02395, Jumencourt, 3, 141
02396, Jumigny, 4, 64
02397, Jussy, 3, 1252
02398, Juvigny, 4, 284
02399, Juvincourt-et-Damary, 3, 607
02400, Laffaux, 4, 148
02401, Laigny, 4, 194
02402, Lanchy, 4, 37
02403, Landifay-et-Bertaignemont, 4, 260
02404, Landouzy-la-Cour, 3, 190
